Id,Lat.,Long.,Indirizzo,UPL,Quartiere,Circoscrizione,Coordinate,Proponente,Titolo proposta,Rappresentante,Stato di avanzamento,Patto di Collaborazione sottoscritto,Foto,googlemaps ,geouri
026,38.18956704,13.28649808,Piazza Tommaso Natale,Tommaso Natale - Sant'Ambrogio - Cardillo,Tommaso Natale - Sferracavallo,VII,"38.189567041666905, 13.28649808315192",Associazione,Gestiamo la nostra Piazza,SILPA Associazione Comunale Palermo,Respinta,2025 20 10 Patto di Collaborazione Gestiamo la nostra piazza Oscurata.pdf,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1895670416669,13.2864980831519","geo:38.1895670416669,13.2864980831519"
027,38.12323216,13.36424474,P.zza XIII Vittime,Borgo Vecchio - Principe Scordia,Politeama,VIII,"38.12323216200155, 13.364244737114248",Società,Rigenerazione e abbellimento della Piazzetta della Libertà di Stampa,SPI.GI. s.r.l.,Patto stipulato,Patto di Collaborazione signed.pdf,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1232321620015,13.3642447371142","geo:38.1232321620015,13.3642447371142"
028,38.1095127,13.37191706,"via Gian Filippo Ingrassia , porzione di strada pedonalizzata tra la via Archirafi e la via Antonio Ugo",Corso dei Mille - S.Erasmo,Oreto - Stazione,II,"38.10951269948896, 13.371917058206243",Gruppo informale,Via Libera!,"ICS Rita Borsellino, Booq, Handala, Addiopizzo",In attesa di integrazione,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1095126994889,13.3719170582062","geo:38.1095126994889,13.3719170582062"
029,38.13756625,13.33624876,"Spazio antistante l'Istituto Magistrale Finocchiaro Aprile, entrata da via P.di Paternò.",Principe di Palagonia,Malaspina - Palagonia,VIII,"38.13756625348096, 13.336248759749141",Istituto,"Rigenerazione urbana spazio pedonale ""Fabrizio Mangione""",I.M.S. Camillo Finocchiaro Aprile ,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1375662534809,13.3362487597491","geo:38.1375662534809,13.3362487597491"
030,38.11423134,13.36664553,Piazza Rivoluzione,Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11423134303924, 13.366645532207835",Associazione,Riqualifichiamo piazza Rivoluzione,Retake Palermo  ODV,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1142313430392,13.3666455322078","geo:38.1142313430392,13.3666455322078"
031,38.19964332,13.32844629,Tratto del lungomare  di viale Regina Elena oggetto di pedonalizzazione che include la passeggiata e parte della sede stradale.,Partanna Mondello,Partanna Mondello,VII,"38.19964331864181, 13.328446289131925",Società ,"Mondello: Arte , Cultura e Musica",Mondello Immobiliare Italo Belga s.a.,Patto stipulato,2024 07 12 Patto di Collaborazione Mondello F.to.pdf,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1996433186418,13.3284462891319","geo:38.1996433186418,13.3284462891319"
032,38.11130898,13.351723,"Area a verde, prospiciente le  mura del giardino di Palazzo dei Normanni ",Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.11130898348901, 13.351723000120588",Società ,Green Food ,Buffa  s.r.l.,Respinta,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.111308983489,13.3517230001205","geo:38.111308983489,13.3517230001205"
033,38.11633612,13.364628,Piazza Borsa,Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11633612243411, 13.364628004761347",Società ,Acquisto arredi urbani Piazza Borsa,Pirazzoli Assicurazione s.r.l.,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1163361224341,13.3646280047613","geo:38.1163361224341,13.3646280047613"
034,38.11927026,13.35576175,Cortile San Vito all'interno del vicino quartiere del Capo,Monte di Pietà o Seralcadi,Palazzo Reale - Monte di Pietà,I,"38.11927026343075, 13.355761752196672",Persona fisica,La rinascita di Cortile San Vito,,In attesa di integrazione,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1192702634307,13.3557617521966","geo:38.1192702634307,13.3557617521966"
035,38.11739054,13.3395313,Spazio antistante il padiglione 20  Cantieri Culturali della Zisa.,Zisa - Ingastone,Zisa,V,"38.117390536842706, 13.339531296036403",Associazione ,La casa di Lucia,La Casa di Lucia Aps,In attesa di integrazione,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1173905368427,13.3395312960364","geo:38.1173905368427,13.3395312960364"
036,38.11621967,13.36871626,Vicolo Sciarra (traversa via Alloro),Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11621967108944, 13.368716256296642",Società,La cura di sè e della città,Movimento Idea e Azione,Respinta,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1162196710894,13.3687162562966","geo:38.1162196710894,13.3687162562966"
037,38.10273702,13.38511541,Piazzetta Beato Padre Pino Puglisi,Settecannoli,Settecannoli,II,"38.10273701781961, 13.385115410840337",Associazione,Riqualificazione urbana della piazzetta Beato Padre Pino Puglisi ,Centro di accoglienza Padre Nostro ETS,Patto stipulato,Patto di collaborazione Riqualificazione piazzetta Padre Pino Puglisi f.to 2.pdf,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1027370178196,13.3851154108403","geo:38.1027370178196,13.3851154108403"
