Id,Lat.,Long.,Indirizzo,UPL,Quartiere,Circoscrizione,Coordinate,Proponente,Titolo proposta,Rappresentante,Stato di avanzamento,Nota per attività conclusive,Foto,googlemaps ,geouri
011,38.1215963,13.35367094,Piazza San Francesco di Paola,S.Francesco di Paola - Terrasanta,Politeama,VIII,"38.12159629719762, 13.3536709442495",Società,Gestione della Villetta di P.zza San Francesco di Paola,Premiata Enoteca Butticè srl,Respinta,Diniego inviato,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1215962971976,13.3536709442495","geo:38.1215962971976,13.3536709442495"
012,38.14693226,13.34405215,Piazza Leoni,Marchese di Villabianca - Sampolo,Libertà,VIII,"38.14693226478283, 13.344052147169823",Società,Aiuole dei Leoni,Edilsama srl,Patto stipulato,Con email del 21 03 2025 l ufficio ha trasmesso alla societa' richiedente Il patto di Collaborazione che risulta sottoscritto. Con email del 21 05 2025 è stata richiesto  all'ufficio del verde un intervento  per la risoluzione di un inconveniente ( di natura  idrica)  riscontrato.,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1469322647828,13.3440521471698","geo:38.1469322647828,13.3440521471698"
013,38.12279767,13.36462889,Piazza XIII vittime - via cavour - via crispi,Borgo Vecchio - Principe Scordia,Politeama,VIII,"38.12279767083293, 13.364628887894256",Società,Progetto per la riqualificazione della fontana sita in giardino della libertà di stampa - piazza XIII vittime,LPS group srl,In attesa di integrazione,Perviene in data 26 06 2025 email con allegati gli  elaborati richiesti della fontana ,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1227976708329,13.3646288878942","geo:38.1227976708329,13.3646288878942"
014,38.11540598,13.36202708,,Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11540597876176, 13.362027083900832",Società,Sponsorizzazione in campagne Pubblicitarie ad Impression per campagne istituzionali de Comune di Palermo,Moving Up s.r.l.,Patto stipulato,In attesa degli elaborati richiesti con nota prot.n. 252412 del 12/03/2024 ,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1154059787617,13.3620270839008","geo:38.1154059787617,13.3620270839008"
015,38.10264453,13.35283144,"Piazza Monte Grappa, 2° lotto ",Montegrappa,Montegrappa - S. Rosalia,IV,"38.10264453278173, 13.35283143597957",Società,Arredi e/o giostrine per p.zza Monte Grappa 2°lotto,Nautilus Aviation S.p.a.,In attesa di integrazione,"Con email del 29 04 2025 l'ufficio scrivente ha richiesto degli elaborati grafici per comprendenre meglio gli elementi di arredo , le tipologie etc.",https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1026445327817,13.3528314359795","geo:38.1026445327817,13.3528314359795"
016,38.11567656,13.36147085,Piazza Vigliena,Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11567656182383, 13.361470848786833",Società,Illuminazione artistica 4 Canti.,Noon S.r.l.,In attesa di integrazione,"Perviene in data 07/04/2025 istanza su nuovo modello corredata dalla sola carta d'identità,  richiesta già con nota prot. 115618 del 05/'2/2024 . Poichè mancano tutti gli altri allegati, se ne  sollecitata l'invio con  email del 08/04/2025 ",https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1156765618238,13.3614708487868","geo:38.1156765618238,13.3614708487868"
017,38.09636481,13.42950606,bivio di Acqua dei Corsari e via Galletti,Roccella Acqua dei Corsari,Settecannoli,II,"38.09636481279477, 13.429506062043972",Associazione,Una panchina per riflettere......,Amici di Cristina,Respinta,Inviare diniego,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.0963648127947,13.4295060620439","geo:38.0963648127947,13.4295060620439"
018,38.10918811,13.35712852,"aiuola Corso Tukory 193, aiuola corso Tukory 209, villa Vito Colonna, Corso Tukory",Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.109188107034896, 13.357128522109289",Associazione,La via della felicità per Palermo pulita e felice,La via della Felicità Italia Aps ,Respinta,Diniego inviato,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1091881070348,13.3571285221092","geo:38.1091881070348,13.3571285221092"
019,38.12151652,13.35310176,Piazza San Francesco di Paola,S.Francesco di Paola - Terrasanta,Politeama,VIII,"38.121516522463395, 13.353101760276424",Società,Parco delle Magnolie di P.zza San Francesco di Paola,Premiata Enoteca Butticè srl,Istruttoria in corso,Con email del 23 04 2025 la ditta ha trasmesso n. 4  elaborati dei luoghi e degli arredi richiesti.,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1215165224633,13.3531017602764","geo:38.1215165224633,13.3531017602764"
020,38.11610842,13.36491743,piazza Borsa,Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11610841754312, 13.364917425686007",Persona fisica,Realizzazione a p.zza degli artisti in p.zza Borsa,,In attesa di integrazione,In attesa di integrazione da parte del proponente,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1161084175431,13.364917425686","geo:38.1161084175431,13.364917425686"
021,38.11722193,13.34136697,Presunta piazza Sylvia Rivera,Zisa - Ingastone,Zisa,V,"38.117221925817994, 13.341366966645928",Associazione,Azziziamo la Piazzetta,Legambiente Nazionale APS -Rete Associativa ET ,Istruttoria in corso,"In fase di interlocuzione con la Soprintendenza, inviata email in data 06 03 2025. si attende riscontro.",https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1172219258179,13.3413669666459","geo:38.1172219258179,13.3413669666459"
022,38.11618524,13.35929735,"Asse viario via Candelai, via del Celso, discesa Santamarina",Monte di Pietà o Seralcadi,Palazzo Reale - Monte di Pietà,I,"38.11618523968304, 13.359297346208086",Società,"Progetto riqualificazione Santa Marina, asse via del Celso, via Candelai.",Santamarina Luxury Suite srl ,Istruttoria in corso,In attesa di completamento dei lavori di pavimentazione e verifica ordinanza di pedonalizzazione,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.116185239683,13.359297346208","geo:38.116185239683,13.359297346208"
023,38.13185603,13.35037215,Via Marchese Ugo nei pressi della chiesa di Santa Rosalia,Notarbartolo - Giardino Inglese,Libertà,VIII,"38.13185602744878, 13.350372149436483",Associazione,Decorazione 2 panchine,Inner Wheel Club Palermo Mondello,Respinta,Respinta,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1318560274487,13.3503721494364","geo:38.1318560274487,13.3503721494364"
024,38.11592717,13.36900961,"via Alloro, 95",Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11592716892017, 13.369009607665268",Associazione,Casa della Partecipazione ,Neu (Noi) Spazio al Lavoro APS,Patto stipulato,Patto di collaborazione sottoscritto. Perviene nota prot. n. 326231el 04 04 2025 da parte dell ufficio Demanio e inverntario circa l'assegnazione dell' immobile all'area del Vice Capo di Gabinetto per tutta la durata del Patto di Collaborazione.Con successiva nota prot.350837 del 14 04 2025 l'Ufficio demanio ha assegnato il bene all'Uff.Rigeneraz.Urbana.,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1159271689201,13.3690096076652","geo:38.1159271689201,13.3690096076652"
025,38.13785324,13.35374109,"via Sampolo,  confluenza angolo via Arimondi, adiacente la Stazione di Servizio Eni.",Marchese di Villabianca - Sampolo,Libertà,VIII,"38.13785323555046, 13.353741094061093",Associazione,Area pubblica in via Sampolo,Presidio di cittadinanza APS ,Istruttoria in corso,Si attende riscontro dall' ufficio demanio,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1378532355504,13.353741094061","geo:38.1378532355504,13.353741094061"
026,38.18956704,13.28649808,Piazza Tommaso Natale,Tommaso Natale - Sant'Ambrogio - Cardillo,Tommaso Natale - Sferracavallo,VII,"38.189567041666905, 13.28649808315192",Associazione,Gestiamo la nostra Piazza,SILPA Associazione Comunale Palermo,Respinta,Diniego inviato,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1895670416669,13.2864980831519","geo:38.1895670416669,13.2864980831519"
027,38.12323216,13.36424474,P.zza XIII Vittime,Borgo Vecchio - Principe Scordia,Politeama,VIII,"38.12323216200155, 13.364244737114248",Società,Rigenerazione e abbellimento della Piazzetta della Libertà di Stampa,SPI.GI. s.r.l.,Patto stipulato,Il Patto di Collaborazione è stato sottoscritto in data 24 04 2025,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1232321620015,13.3642447371142","geo:38.1232321620015,13.3642447371142"
028,38.1095127,13.37191706,"via Gian Filippo Ingrassia , porzione di strada pedonalizzata tra la via Archirafi e la via Antonio Ugo",Corso dei Mille - S.Erasmo,Oreto - Stazione,II,"38.10951269948896, 13.371917058206243",Gruppo informale,Via Libera!,"ICS Rita Borsellino, Booq, Handala, Addiopizzo",In attesa di integrazione,Le associazioni proponenti devono trasmettere la nuova proposta progettuale così come concordato nella riunione del 21 marzo 2025,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1095126994889,13.3719170582062","geo:38.1095126994889,13.3719170582062"
029,38.13756625,13.33624876,"Spazio antistante l'Istituto Magistrale Finocchiaro Aprile, entrata da via P.di Paternò.",Principe di Palagonia,Malaspina - Palagonia,VIII,"38.13756625348096, 13.336248759749141",Istituto,"Rigenerazione urbana spazio pedonale ""Fabrizio Mangione""",I.M.S. Camillo Finocchiaro Aprile ,Istruttoria in corso,Manca documentazione integrativa da richiedere,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1375662534809,13.3362487597491","geo:38.1375662534809,13.3362487597491"
030,38.11423134,13.36664553,Piazza Rivoluzione,Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11423134303924, 13.366645532207835",Associazione,Riqualifichiamo piazza Rivoluzione,Retake Palermo  ODV,Istruttoria in corso,Con email del  06 10 2025 l'ufficio scrivente ha sollecitato la sottoscrizione del Patto di collaborazione . ,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1142313430392,13.3666455322078","geo:38.1142313430392,13.3666455322078"
031,38.19964332,13.32844629,Tratto del lungomare  di viale Regina Elena oggetto di pedonalizzazione che include la passeggiata e parte della sede stradale.,Partanna Mondello,Partanna Mondello,VII,"38.19964331864181, 13.328446289131925",Società ,"Mondello: Arte , Cultura e Musica",Mondello Immobiliare Italo Belga s.a.,Proroga e/o Monitoraggio e valutazione dei risultati,Patto stipulato con determina dirigenziale n.  9818 del 16 07 2024  ,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1996433186418,13.3284462891319","geo:38.1996433186418,13.3284462891319"
032,38.11130898,13.351723,"Area a verde, prospiciente le  mura del giardino di Palazzo dei Normanni ",Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.11130898348901, 13.351723000120588",Società ,Green Food ,Buffa  s.r.l.,Respinta,Diniego inviato,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.111308983489,13.3517230001205","geo:38.111308983489,13.3517230001205"
033,38.11633612,13.364628,Piazza Borsa,Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11633612243411, 13.364628004761347",Società ,Acquisto arredi urbani Piazza Borsa,Pirazzoli Assicurazione s.r.l.,Istruttoria in corso,Manca documentazione integrativa. occorre  sollecitare ,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1163361224341,13.3646280047613","geo:38.1163361224341,13.3646280047613"
034,38.11927026,13.35576175,Cortile San Vito all'interno del vicino quartiere del Capo,Monte di Pietà o Seralcadi,Palazzo Reale - Monte di Pietà,I,"38.11927026343075, 13.355761752196672",Persona fisica,La rinascita di Cortile San Vito,,In attesa di integrazione,In data 18/04/2025 l'Ufficio comunica per email alla richiedente che la documentazione presentata in data 11/04/2025 è insufficiente per una valutazione idonea e appropriata.,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1192702634307,13.3557617521966","geo:38.1192702634307,13.3557617521966"
035,38.11739054,13.3395313,Spazio antistante il padiglione 20  Cantieri Culturali della Zisa.,Zisa - Ingastone,Zisa,V,"38.117390536842706, 13.339531296036403",Associazione ,La casa di Lucia,La Casa di Lucia Aps,In attesa di integrazione,In attesa di integrazione da parte del proponente,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1173905368427,13.3395312960364","geo:38.1173905368427,13.3395312960364"
036,38.11621967,13.36871626,Vicolo Sciarra (traversa via Alloro),Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11621967108944, 13.368716256296642",Società,La cura di sè e della città,Movimento Idea e Azione,Respinta,Diniego inviato,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1162196710894,13.3687162562966","geo:38.1162196710894,13.3687162562966"
037,38.10273702,13.38511541,Piazzetta Beato Padre Pino Puglisi,Settecannoli,Settecannoli,II,"38.10273701781961, 13.385115410840337",Associazione,Riqualificazione urbana della piazzetta Beato Padre Pino Puglisi ,Centro di accoglienza Padre Nostro ETS,Patto stipulato,Patto di Collaborazione approvato con delibera di G.M. 363 del 19 12 2024 ,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1027370178196,13.3851154108403","geo:38.1027370178196,13.3851154108403"
038,38.1188975,13.36686029,"Piazzetta Porta Carbone, delimitata da via dei Cassari e  piazza Tarzanà",Castellammare o Loggia,Tribunali-Castellammare,I,"38.11889750333149, 13.36686029396672",Associazione,Riqualificazione di Piazzetta Porta Carbone,Palermo Nostra,Respinta,Con  email del  14 03 2025 lo scrivente ufficio ha richiesto i pareri rispettivamente all'ufficio Infrastrutture e mobilità  e all' ufficio del Piano Regolatore e Conformita Urbanistica - Con email a firma di Ciralli dell 08/ 05/ 2025 vengono espressi alcuni rilievi circa la conformita' del progetto. ,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1188975033314,13.3668602939667","geo:38.1188975033314,13.3668602939667"
039,38.11242544,13.36948285,via Lincoln 121,Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11242543540506, 13.369482852748952",Società,Educazione civica e partecipazione,Movimento idea e Azione,In attesa di integrazione,"Con nota del 06/03/2025 prot. AREG/227924/2025 sono state chieste informazioni, All'Ufficio Demanio, su proprietà e stato dell'immobile. Con mail del 11/03/2025 è stato chiesto all'Ufficio Inventario copia del contratto copia del contratto rep. n. 80 del 16/12/2024",https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.112425435405,13.3694828527489","geo:38.112425435405,13.3694828527489"
040,38.10139964,13.33918711,Piazza Turba,Cuba - Calatafimi,Cuba - Calatafimi,IV,"38.10139964285257, 13.339187110194644",Associazione,Piazza scolastica a regola d'arte : la rigenerazione urbana prende vita e arti.,Liceo Artistico Statale Vincenzo Ragusa e Otama Kyohara  ,In attesa di integrazione,Manca documentazione integrativa da richiedere ,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1013996428525,13.3391871101946","geo:38.1013996428525,13.3391871101946"
041,38.11448,13.35989,Piazzetta Castelnuovo,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.11448, 13.35989",Società ,Progetto per la rifunzionalizzazione della Piazzetta Castelnuovo,Società Grotta Azzurra s.r.l.,Respinta,Con mail inviata dall'arch. Caselli in data 15 aprile è stata trasmessa la nota di Diniego prot.n. 351628 del 15 04 2025,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.11448,13.35989","geo:38.11448,13.35989"
042,38.12639288,13.35785509,Piazza Don Luigi Sturzo,Borgo Vecchio - Principe Scordia,Politeama,VIII,"38.12639287825929, 13.357855091070034",Società,"Piccolo bosco urbano  ""Colibrì"" ",D1eci Srl società benefit a socio unico  ,In attesa di integrazione,Com email del 12 03 2025 l ufficio ha sollecitato la presentazione della documentazione tecnica-progettuale.,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1263928782592,13.35785509107","geo:38.1263928782592,13.35785509107"
043,38.12065353,13.36018928,Piazza Olivella,Castellammare o Loggia,Tribunali-Castellammare,I,"38.12065352789346, 13.360189283112842",Gruppo informale,Valorizzazione Monteleone e Piazza Olivella  Olivella District,Comitato Monteleone Olivella,Istruttoria in corso,In attesa di ordinanza da parte dell'Ufficio Mobilità e Traffico - Il Dirigente dr. Follari  con email del 28 04 2025 segnala all'ufficio Verde la   necessità di potare  gli alberi a piazza Olivella. Con email del 28 04 2025 il Comitato trasmette alcune modifiche apportate al progetto e chiede all'ufficio di valutarle .,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1206535278934,13.3601892831128","geo:38.1206535278934,13.3601892831128"
044,38.11312761,13.36251244,Piazza SS 40 martiri al casalotto,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.113127610442504, 13.362512443941268",Società,Dalla porta di Bebilbacal a Ballarò,Cinematocasa s.r.l.,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1131276104425,13.3625124439412","geo:38.1131276104425,13.3625124439412"
045,38.11488481,13.36390565,via Mastrangelo ,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.114884806969975, 13.363905647950206",Gruppo Informale,Arredo Urbano in via Mastrangelo,Gruppo Informale Decoro in via Mastrangelo,Patto stipulato,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1148848069699,13.3639056479502","geo:38.1148848069699,13.3639056479502"
046,38.18927752,13.28705295,Piazza Tommaso Natale ,Tommaso Natale - Sant'Ambrogio - Cardillo,Tommaso Natale - Sferracavallo,VII,"38.18927752261314, 13.287052952279877",Associazione,Gestiamo la nostra Piazza,Associazione Comunale SILPA,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1892775226131,13.2870529522798","geo:38.1892775226131,13.2870529522798"
047,38.19964332,13.32844629,Tratto del lungomare  di viale Regina Elena oggetto di pedonalizzazione che include la passeggiata e parte della sede stradale.,Partanna Mondello,Partanna Mondello,VIII,"38.19964331864181, 13.328446289131925",Società ,"Mondello: Arte , Cultura e Musica",Mondello Immobiliare Italo Belga s.a.,Patto stipulato,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1996433186418,13.3284462891319","geo:38.1996433186418,13.3284462891319"
048,38.11540358,13.34322977,"via Domenico Guerrazzi, 46 ",Zisa - Ingastone,Zisa,V,"38.11540357902976, 13.343229772699793",Persona fisica,"""Non c'e niente di male a Puliziare""",,Patto stipulato,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1154035790297,13.3432297726997","geo:38.1154035790297,13.3432297726997"
049,38.11543022,13.36021129,"Locali dell’ex Visitor Center, al piano terra di Palazzo Gulì, prospicienti la via Vittorio Emanuele, civico n.355 e 357.",Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.11543022136172, 13.36021128697906",Persona Fisica,Questo  non è un marshmallow,Centro Siciliano di documentazione Giuseppe Impastato Onlus ,Istruttoria in corso,Con mail del 09/07/2025 è stato chiesto al Servizio Demanioinformazioni circa l'attuale utilizzo dei locali di piano terra oggetto del patto,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1154302213617,13.360211286979","geo:38.1154302213617,13.360211286979"
050,38.12095582,13.36570291,"Area degli Schiavoni, situata in prossimità del porto di Palermo e del waterfront urbano",Castellammare o Loggia,Tribunali-Castellammare,I,"38.120955820438304, 13.365702910469336",Associazione,ALBAB,Associazione Il Diario di Palermo,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1209558204383,13.3657029104693","geo:38.1209558204383,13.3657029104693"
051,38.11444474,13.36958485,Piazza Magione,Tribunali o Kalsa,Tribunali-Castellammare,I,"38.11444473824707, 13.369584849982374",Gruppo Informale,"Piazza Magione in Movimento: Hub per il Benessere, Sport e attività fisiche per la Comunità",,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.114444738247,13.3695848499823","geo:38.114444738247,13.3695848499823"
052,38.14229074,13.34813956,Largo Rodrigo  Pantaleone ,Marchese di Villabianca - Sampolo,Libertà,VIII,"38.14229073591264, 13.348139560829502",Associazione ,Il largo è di tutti ,Associazione  Nausicaa A PS aderente all'ARCI nazionale,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1422907359126,13.3481395608295","geo:38.1422907359126,13.3481395608295"
053,38.10983728,13.35502763,Via Benedettini 16,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,"38.109837284563454, 13.355027626237472",Associazione,Uno spazio per lo sport,Associazione San Giuseppe Cafasso Onlus,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.1098372845634,13.3550276262374","geo:38.1098372845634,13.3550276262374"
054,38.12667941,13.36141009,via Emerico Amari,Borgo Vecchio - Principe Scordia,Politeama,VIII,"38.1266794121674, 13.361410090316586",Persona Fisica,Steli di Pace,,Patto stipulato,Patto stipulato con Determina Dirigenziale N° 12727 - 08/09/2025,https://palermohub.github.io/Dashboard-Monitoraggio/img/054.jpg,"https://maps.google.com/?q=38.1266794121674,13.3614100903165","geo:38.1266794121674,13.3614100903165"
055,38.11747,13.35669,"Piazzetta delle sedie volanti, vicolo Mirabella",Monte di Pietà o Seralcadi,Palazzo Reale - Monte di Pietà,I,"38.11747, 13.35669",Società,Riqualificazione Piazzetta delle sedie volanti,ALFATER s.r.l. ,Istruttoria in corso,,https://palermohub.github.io/Dashboard-Monitoraggio/img/foto.jpg,"https://maps.google.com/?q=38.11747,13.35669","geo:38.11747,13.35669"
